concelho,month,year,sum
Aljezur,5,2020,0.0174
Aljezur,5,2021,0.1527
Aljezur,6,2015,0.20690000000000003
Aljezur,6,2017,1.8415
Aljezur,6,2018,0.0042
Aljezur,6,2019,0.003
Aljezur,6,2020,2302.45695805369
Aljezur,6,2021,1.1952
Aljezur,7,2016,0.32
Aljezur,7,2017,3.2555
Aljezur,7,2019,207.84381627686
Aljezur,7,2020,1.2
Aljezur,7,2021,0.4385
Aljezur,8,2015,2.4824
Aljezur,8,2016,0.0729
Aljezur,8,2017,0.07300000000000001
Aljezur,8,2018,0.0245
Aljezur,8,2019,2.6268999999999996
Aljezur,8,2020,0.40800000000000003
Aljezur,8,2021,0.152
Aljezur,9,2015,0.503
Aljezur,9,2017,2.9606
Aljezur,9,2018,86.15249999999999
Aljezur,9,2020,0.13
Aljezur,10,2016,0.13
Aljezur,10,2017,0.0136
Aljezur,10,2018,0.18
Aljezur,10,2019,11.019
Aljezur,10,2020,0.0165
Aljezur,11,2015,0.45
Aljezur,11,2017,0.0378
Aljezur,12,2017,2.01
Aljustrel,2,2015,0.0527
Aljustrel,3,2019,17.0
Aljustrel,5,2015,0.3219
Aljustrel,5,2016,0.3985
Aljustrel,5,2017,28.066
Aljustrel,5,2018,0.0094
Aljustrel,5,2019,65.1828393704
Aljustrel,5,2020,0.69
Aljustrel,5,2021,0.5558
Aljustrel,6,2015,0.5644
Aljustrel,6,2016,25.4749
Aljustrel,6,2017,44.355599999999995
Aljustrel,6,2018,1.2884
Aljustrel,6,2019,94.9315
Aljustrel,6,2020,0.047799999999999995
Aljustrel,6,2021,6.870900000000001
Aljustrel,7,2015,55.2325
Aljustrel,7,2016,25.224
Aljustrel,7,2017,1.8453
Aljustrel,7,2019,6.2176
Aljustrel,7,2020,119.3126
Aljustrel,7,2021,216.3093
Aljustrel,8,2015,6.573600000000001
Aljustrel,8,2016,0.0085
Aljustrel,8,2017,5.4741
Aljustrel,8,2018,1.7591999999999999
Aljustrel,8,2019,2.6344000000000003
Aljustrel,8,2020,0.0012
Aljustrel,8,2021,0.0888
Aljustrel,9,2015,0.7278
Aljustrel,9,2016,1.0235
Aljustrel,9,2017,3.8479
Aljustrel,9,2019,3.1938
Aljustrel,9,2020,0.0832
Aljustrel,10,2015,9.697799999999999
Aljustrel,10,2016,50.756
Aljustrel,10,2017,0.5182
Aljustrel,10,2018,2.5204
Aljustrel,10,2019,3.2910000000000004
Aljustrel,10,2020,0.7684000000000001
Aljustrel,11,2016,0.2385
Aljustrel,11,2017,0.843
Aljustrel,11,2019,7.2812
Aljustrel,12,2015,0.8029
Almada,1,2015,0.002
Almada,1,2017,0.017
Almada,1,2018,0.014
